112,110,512,110,512,131,112,131,0.99887985
112,406,528,406,528,422,112,422,0.99884546
80,649,512,649,512,665,80,665,0.99884135
80,678,512,678,512,694,80,694,0.99883
336,199,544,199,544,214,336,214,0.9987998
64,497,384,497,384,516,64,516,0.9987966
64,467,528,467,528,485,64,485,0.99876773
64,347,544,347,544,364,64,364,0.9987507
96,255,544,255,544,273,96,273,0.9987477
64,557,528,557,528,575,64,575,0.9987446
240,135,368,135,368,161,240,161,0.9987356
64,587,528,587,528,606,64,606,0.9987318
64,285,544,285,544,304,64,304,0.9987244
96,708,544,708,544,725,96,725,0.99870706
64,316,544,316,544,333,64,333,0.9987062
64,377,496,377,496,394,64,394,0.99869424
64,437,544,437,544,453,64,453,0.99869233
96,526,544,526,544,545,96,545,0.99868983
64,619,528,619,528,636,64,636,0.9986785
