304,445,352,445,352,465,304,465,0.99885416
112,657,400,657,400,677,112,677,0.9988343
112,297,528,297,528,312,112,312,0.998811
112,717,336,717,336,737,112,737,0.9987992
80,357,528,357,528,373,80,373,0.9987907
80,416,432,416,432,435,80,435,0.9987907
64,204,544,204,544,224,64,224,0.99876654
64,114,464,114,464,133,64,133,0.9987633
64,387,528,387,528,404,64,404,0.9987155
400,599,544,599,544,614,400,614,0.9987031
400,536,528,536,528,553,400,553,0.99869835
96,627,144,627,144,645,96,645,0.99869496
64,476,384,476,384,495,64,495,0.99869424
96,143,304,143,304,163,96,163,0.99868196
64,265,496,265,496,282,64,282,0.9986733
112,174,528,174,528,193,112,193,0.99867
64,234,544,234,544,254,64,254,0.99866104
96,687,304,687,304,709,96,709,0.99864596
64,327,528,327,528,342,64,342,0.998642
